数据生成时间：2019-07-20 14:08
数据生成条件：
1. 时间范围：20190719
2. 时间单位：合计
3. 推广设备：移动设备，计算机
4. 投放网络：全部

账户,日期,推广计划,展现,点击,消费,平均点击价格,点击率,网页转化,电话转化,商桥转化,推广计划ID
"xa-lhxm","2019-07-19","D-P疱疹词-症状-水泡【22】",14,1,3.08,3.08,7.14%,0,0,0,109049126
"xa-lhxm","2019-07-19","D-P疱疹词-【23】",23,2,5.54,2.77,8.70%,0,0,0,109049127
"xa-lhxm","2019-07-19","D-hpv【25】",140,2,4.71,2.36,1.43%,0,0,0,109049144
"xa-lhxm","2019-07-19","D-P疱疹词-hsv【24】",66,1,3.56,3.56,1.52%,0,0,0,109049145
"xa-lhxm","2019-07-19","D-C-YZ-2尿道炎",38,1,3.18,3.18,2.63%,0,0,0,109049146
"xa-lhxm","2019-07-19","D-C-YZ-11尿道炎",185,16,43.65,2.73,8.65%,0,0,0,109049149
"xa-lhxm","2019-07-19","D-Q[症状词]-肉芽【27】",2,0,0.00,0.00,0.00%,0,0,0,109049120
"xa-lhxm","2019-07-19","D-Z症状词-【症状】疙瘩【05】",2,0,0.00,0.00,0.00%,0,0,0,109049159
"xa-lhxm","2019-07-19","D-Z症状词-【症状】菜花【07】",2,0,0.00,0.00,0.00%,0,0,0,109049161
"xa-lhxm","2019-07-19","D-Z症状词-【症状】肉芽【01】",1,0,0.00,0.00,0.00%,0,0,0,109049099
"xa-lhxm","2019-07-19","D-C-YZ-YZ09-尿道炎",2,0,0.00,0.00,0.00%,0,0,0,109049147
"xa-lhxm","2019-07-19","D-Z症状词-【症状】-【08】",9,0,0.00,0.00,0.00%,0,0,0,109049160
"xa-lhxm","2019-07-19","D-Q[症状词]-疙瘩【31】",1,0,0.00,0.00,0.00%,0,0,0,109049123
"xa-lhxm","2019-07-19","D-Z症状词-【症状】肉粒【02】",1,0,0.00,0.00,0.00%,0,0,0,109049162
"xa-lhqg","2019-07-19","C-ZZY-3早孕检查(血hcg)",708,11,20.57,1.87,1.55%,0,0,0,108640549
"xa-lhqg","2019-07-19","C-ZZY-1早孕二",90,0,0.00,0.00,0.00%,0,0,0,108640555
"xa-lhqg","2019-07-19","C-ZZY-10[怀孕]-测孕",1810,29,57.24,1.97,1.60%,0,0,0,108640558
"xa-lhqg","2019-07-19","C-ZZY-11 [怀孕]-月推",2895,89,141.77,1.59,3.07%,0,0,0,108640559
"xa-lhqg","2019-07-19","C-ZZY-8早孕",57,1,1.18,1.18,1.75%,0,0,0,108640572
"xa-lhqg","2019-07-19","C-ZZY-ZZY-观察计划",44,0,0.00,0.00,0.00%,0,0,0,108640590
"xa-lhqg","2019-07-19","C-RL-A8时间-不要",3,0,0.00,0.00,0.00%,0,0,0,108640301
"xa-lhqg","2019-07-19","C-RL-A2打掉",14,0,0.00,0.00,0.00%,0,0,0,108640305
"xa-lhqg","2019-07-19","C-RL-99打胎",17,0,0.00,0.00,0.00%,0,0,0,108640308
"xa-lhqg","2019-07-19","C-RL-96堕胎",8,0,0.00,0.00,0.00%,0,0,0,108640311
"xa-lhqg","2019-07-19","C-RL-65流产流量",110,1,4.56,4.56,0.91%,0,0,0,108640373
"xa-lhqg","2019-07-19","C-RL-49人流医院-区域",1,0,0.00,0.00,0.00%,0,0,0,108640376
"xa-lhqg","2019-07-19","C-RL-38人流费用",12,0,0.00,0.00,0.00%,0,0,0,108640384
"xa-lhqg","2019-07-19","C-YZ-4妇科炎症",11,0,0.00,0.00,0.00%,0,0,0,108640476
"xa-lhqg","2019-07-19","C-RL-25流产",97,1,1.25,1.25,1.03%,0,0,0,108640500
"xa-lhqg","2019-07-19","C-HY-4西安妇科医院",150,0,0.00,0.00,0.00%,0,0,0,108640518
"xa-lhqg","2019-07-19","JC01-[检查]妇科检查-A",17,0,0.00,0.00,0.00%,0,0,0,108473998
"xa-lhqg","2019-07-19","HYC01-[妇科]路名+妇科jp",13,0,0.00,0.00,0.00%,0,0,0,108474002
"xa-lhqg","2019-07-19","FKQT06-商务通预约词【杂词】",64,0,0.00,0.00,0.00%,0,0,0,108474013
"xa-lhqg","2019-07-19","FKQT02-[其他]对话词",78,2,2.42,1.21,2.56%,0,0,0,108474014
"xa-lhqg","2019-07-19","FKQT04-[其他]流量词",33,1,1.42,1.42,3.03%,0,0,0,108474015
"xa-lhqg","2019-07-19","RL24-[计生]西安人流-A",1,0,0.00,0.00,0.00%,0,0,0,108474020
"xa-lhqg","2019-07-19","RL20-[计生]人流次重点",2,0,0.00,0.00,0.00%,0,0,0,108474024
"xa-lhqg","2019-07-19","RL16-[计生]刮宫清宫",15,0,0.00,0.00,0.00%,0,0,0,108474028
"xa-lhqg","2019-07-19","RL14-[计生]非地域-引产",3,0,0.00,0.00,0.00%,0,0,0,108474030
"xa-lhqg","2019-07-19","RL17-[计生]流产-A",10,0,0.00,0.00,0.00%,0,0,0,108474031
"xa-lhqg","2019-07-19","RL13-[计生]非地域-药流",23,0,0.00,0.00,0.00%,0,0,0,108474034
"xa-lhqg","2019-07-19","RL04-[计生]非地域-清宫",15,0,0.00,0.00,0.00%,0,0,0,108474036
"xa-lhqg","2019-07-19","RL07-[计生]非地域-人流费用-a",3,0,0.00,0.00,0.00%,0,0,0,108474037
"xa-lhqg","2019-07-19","RL03-[计生]堕胎",4,0,0.00,0.00,0.00%,0,0,0,108474041
"xa-lhqg","2019-07-19","RL02-[计生]打胎医院",6,0,0.00,0.00,0.00%,0,0,0,108474042
"xa-lhqg","2019-07-19","RL05-[计生]非地域-人流-a",53,0,0.00,0.00,0.00%,0,0,0,108474043
"xa-lhqg","2019-07-19","JC03-[检查]西安妇科检查",34,0,0.00,0.00,0.00%,0,0,0,108474045
"xa-lhqg","2019-07-19","JC02-[检查]妇科检查-B",93,1,1.80,1.80,1.08%,0,0,0,108474046
"xa-lhqg","2019-07-19","YZ03-[妇科炎症]妇科炎症-a",11,0,0.00,0.00,0.00%,0,0,0,108474057
"xa-lhqg","2019-07-19","YZ-03-[症状]白带异常-高点击",69,1,1.67,1.67,1.45%,0,0,0,108474058
"xa-lhqg","2019-07-19","YZ02-[妇科炎症]妇科疾病",2,0,0.00,0.00,0.00%,0,0,0,108474059
"xa-lhqg","2019-07-19","SQH02-[上环取环]上环取环-b",24,0,0.00,0.00,0.00%,0,0,0,108474064
"xa-lhqg","2019-07-19","YJ01-[症状]月经不调",40,1,0.55,0.55,2.50%,0,0,0,108474065
"xa-lhqg","2019-07-19","SMZX03--[妇科整形]--紧缩",3,0,0.00,0.00,0.00%,0,0,0,108474066
"xa-lhqg","2019-07-19","YZ-01-[症状]白带异常-a",36,0,0.00,0.00,0.00%,0,0,0,108474068
"xa-lhqg","2019-07-19","YZ-02-[症状]白带异常-b",13,1,1.35,1.35,7.69%,0,0,0,108474069
"xa-lhqg","2019-07-19","YJ02-[症状]月经推迟",215,5,6.26,1.25,2.33%,0,0,0,108474070
"xa-lhqg","2019-07-19","YZ01-[妇科炎症]妇科病-高点击",10,0,0.00,0.00,0.00%,0,0,0,108474071
"xa-lhqg","2019-07-19","RL31-[计生]西安无痛人流",4,1,4.05,4.05,25.00%,0,0,0,108474072
"xa-lhqg","2019-07-19","RL32-[计生]西安-引产",5,0,0.00,0.00,0.00%,0,0,0,108474073
"xa-lhqg","2019-07-19","SMZX01-[妇科整形]地域-处修",9,0,0.00,0.00,0.00%,0,0,0,108474076
"xa-lhqg","2019-07-19","SMZX02-[妇科整形]非地域-处修",1,0,0.00,0.00,0.00%,0,0,0,108474077
"xa-lhqg","2019-07-19","YZ23-[妇科炎症]阴道异味分泌物",3,0,0.00,0.00,0.00%,0,0,0,108474080
"xa-lhqg","2019-07-19","YZ22-[妇科炎症]阴道炎霉菌",4,0,0.00,0.00,0.00%,0,0,0,108474081
"xa-lhqg","2019-07-19","YZ21-[妇科炎症]阴道炎-B",3,0,0.00,0.00,0.00%,0,0,0,108474082
"xa-lhqg","2019-07-19","YZ20-[妇科炎症]阴道炎-A",14,0,0.00,0.00,0.00%,0,0,0,108474083
