编号,日期,账户,推广计划,消耗,点击数,展示数,点击率,点击均价,有消耗词量
总计,--,--,--,1255.72,90,332,27.11%,13.95,79
1,2019-07-19至2019-07-19,cm_029866a@sohu.com,ZY05-[早孕]-早孕测试-偏词,3.51,1,3,33.33%,3.51,1
2,2019-07-19至2019-07-19,cm_029866a@sohu.com,RL30-【流产时间】,111.26,1,4,25.00%,111.26,1
3,2019-07-19至2019-07-19,cm_029866a@sohu.com,BD02-[症状]白带异常-开发,1.34,1,8,12.50%,1.34,1
4,2019-07-19至2019-07-19,cm_029866a@sohu.com,YL01-[计生]非地域-药流,32.76,1,1,100.00%,32.76,1
5,2019-07-19至2019-07-19,cm_029866a@sohu.com,RL10-[计生]流产,131.79,1,1,100.00%,131.79,1
6,2019-07-19至2019-07-19,cm_029866a@sohu.com,YZ18-[急性症状]阴道口症状-b,3.6,1,9,11.11%,3.6,1
7,2019-07-19至2019-07-19,cm_029866a@sohu.com,HY07-[妇科]路名+妇科1,9.54,1,1,100.00%,9.54,1
8,2019-07-19至2019-07-19,cm_029866a@sohu.com,FKQT03-【拉流量】禁调LLL-00,34.77,12,59,20.34%,2.9,11
9,2019-07-19至2019-07-19,cm_029866a@sohu.com,YZ30-新【非地域】阴道出血ydc-94,4.34,2,11,18.18%,2.17,1
10,2019-07-19至2019-07-19,cm_029866a@sohu.com,PP04-[品牌词]莲湖生殖医院-a,12.41,1,2,50.00%,12.41,1
11,2019-07-19至2019-07-19,cm_029866a@sohu.com,RL29-【流产价钱】,55.76,1,8,12.50%,55.76,1
12,2019-07-19至2019-07-19,cm_029866a@sohu.com,SH04-[计生] 上环/取环,12.91,2,2,100.00%,6.46,2
13,2019-07-19至2019-07-19,cm_029866a@sohu.com,BD01-[症状]白带异常,1.05,1,10,10.00%,1.05,1
14,2019-07-19至2019-07-19,cm_029866a@sohu.com,RL38-保[非地域]人流费用,80.96,1,7,14.29%,80.96,1
15,2019-07-19至2019-07-19,cm_029866a@sohu.com,CX02-【非地域】处修 -不调c-69,0.5,1,1,100.00%,0.5,1
16,2019-07-19至2019-07-19,cm_029866a@sohu.com,YZ19-[急性症状]阴道口症状-c,7.22,2,5,40.00%,3.61,2
17,2019-07-19至2019-07-19,cm_029866a@sohu.com,YZ17-[急性症状]阴道口症状-a,26.14,6,36,16.67%,4.36,5
18,2019-07-19至2019-07-19,cm_029866a@sohu.com,ZY08-流量-【早孕】-早孕检测,9.4,3,12,25.00%,3.13,3
19,2019-07-19至2019-07-19,cm_029866a@sohu.com,SH01-[计划生育]-取环-08,8.89,3,3,100.00%,2.96,3
20,2019-07-19至2019-07-19,cm_029866a@sohu.com,HY11-[竞品词]-a,6.5,1,6,16.67%,6.5,1
21,2019-07-19至2019-07-19,cm_029866a@sohu.com,GJ09-新【非地域】宫糜gm-77,8.43,2,5,40.00%,4.22,2
22,2019-07-19至2019-07-19,cm_029866a@sohu.com,RL20-[计生人流]打胎,61.96,2,3,66.67%,30.98,2
23,2019-07-19至2019-07-19,cm_029866a@sohu.com,YZ09-[妇科炎症]阴道出血,18.63,5,25,20.00%,3.73,5
24,2019-07-19至2019-07-19,cm_029866a@sohu.com,ZY03-[早孕]测怀孕,21.54,4,5,80.00%,5.39,3
25,2019-07-19至2019-07-19,cm_029866a@sohu.com,YJ01-【症状】月经推迟-高点击,9.42,3,21,14.29%,3.14,3
26,2019-07-19至2019-07-19,cm_029866a@sohu.com,HY01-[非地域]妇科医院-5,18.88,1,1,100.00%,18.88,1
27,2019-07-19至2019-07-19,cm_029866a@sohu.com,ZX01-[整形]阴道紧缩,5.91,1,7,14.29%,5.91,1
28,2019-07-19至2019-07-19,cm_029866a@sohu.com,RL17-[计生人流]【人流】-医院,120.56,1,1,100.00%,120.56,1
29,2019-07-19至2019-07-19,cm_029866a@sohu.com,HY09-[妇科医院]妇科医院,29.52,2,2,100.00%,14.76,1
30,2019-07-19至2019-07-19,cm_029866a@sohu.com,RL08-[计生]非地域-人流医院-,79.67,3,18,16.67%,26.56,1
31,2019-07-19至2019-07-19,cm_029866a@sohu.com,RL25-【非地域】意外怀孕ywhy-93,26.26,1,1,100.00%,26.26,1
32,2019-07-19至2019-07-19,cm_029866a@sohu.com,YZ20-[炎症] 妇科症状词[-fkyz],70.17,19,49,38.78%,3.69,15
33,2019-07-19至2019-07-19,cm_029866a@sohu.com,YL03-[计生人流]药流重点,230.12,3,5,60.00%,76.71,3
编号,日期,账户,推广计划,消耗,点击数,展示数,点击率,点击均价,有消耗词量
总计,--,--,--,1065.61,195,1522,12.81%,5.46,156
1,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,QT02，【其它】在线咨询类,3.84,1,4,25.00%,3.84,1
2,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,RL63，[计划生育]-人流时间,47.64,3,9,33.33%,15.88,3
3,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,ZY05，【早孕】-怀孕的症状,65.84,17,118,14.41%,3.87,9
4,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,RL59，【人流】-人流//,65.06,2,12,16.67%,32.53,1
5,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,RL66，【预约词】人流,59.72,2,14,14.29%,29.86,2
6,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,HYC19，【妇科】-妇科咨询#fkzx,6.55,1,6,16.67%,6.55,1
7,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,YJ03，【早孕】月经推迟,89.53,26,173,15.03%,3.44,23
8,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,RL44，【人流】人流时间/,34.23,2,8,25.00%,17.12,2
9,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,YZ02，【炎症】具体症状,99.22,30,177,16.95%,3.31,27
10,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,ZY02，【早孕】早孕检查,39.99,6,89,6.74%,6.67,5
11,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,ZY06，【预约词】早孕,2.48,1,4,25.00%,2.48,1
12,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,QG01，【清宫】清宫,37.54,4,37,10.81%,9.39,4
13,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,YZ01，【炎症】白带异常,42.88,13,104,12.50%,3.3,6
14,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,YJ02，【月经】月经推迟,73.47,20,108,18.52%,3.67,20
15,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,JC05，B超检查,0.41,1,3,33.33%,0.41,1
